授業名,曜日,時間,時期,階数名,館,使用教室,class_num
人間工学(e2),1,2,前期,1,3,3111,0
英語ⅡＡ （ＲＭ，ＲＥ指定）,1,3,前期,1,3,3111,0
英語ⅢＡ （ＲＤ指定）,2,2,前期,1,3,3111,0
英語ⅡＡ （ＲＵ指定）,2,3,前期,1,3,3111,0
英語ⅢＡ （ＲＧ指定）,3,3,前期,1,3,3111,0
東京電機大学で学ぶ,3,4,前期,1,3,3111,0
英語ⅡＡ （ＲＤ指定）,3,5,前期,1,3,3111,0
英語ⅣＡ （ＲＭ，ＲＥ指定）,4,1,前期,1,3,3111,0
人文社会学ゼミＡ,4,2,前期,1,3,3111,0
英語ⅠＡ （ＲＭ，ＲＥ指定）,4,3,前期,1,3,3111,0
英語ⅠＡ （ＲＵ指定）,4,4,前期,1,3,3111,0
英語ⅣＡ （ＲＤ指定）,5,2,前期,1,3,3111,0
英語ⅠＡ （ＲＤ指定）,5,3,前期,1,3,3111,0
英語ⅢＡ （ＲＭ，ＲＥ指定）,1,1,前期,1,3,3112,1
英語ⅢＡ （ＲＢ指定）,1,2,前期,1,3,3112,1
英語ⅡＡ （ＲＭ，ＲＥ指定）,1,3,前期,1,3,3112,1
機械要素特論,2,2,前期,1,2,3112,1
英語ⅡＡ （ＲＢ指定）,2,4,前期,1,3,3112,1
東京電機大学で学ぶ,3,4,前期,1,3,3112,1
英語ⅡＡ （ＲＤ指定）,3,5,前期,1,3,3112,1
英語ⅣＡ （ＲＭ，ＲＥ指定）,4,1,前期,1,3,3112,1
英語ⅣＡ （ＲＢ指定）,4,2,前期,1,3,3112,1
英語ⅣＡ （ＲＤ指定）,5,2,前期,1,3,3112,1
教育実習セミナー,1,2,前期,1,3,3120,2
教育実習セミナー,1,4,前期,1,3,3120,2
基礎微積分学Ａ （初歩）（クラス指定あり）,2,1,前期,1,3,3120,2
化学Ａ （初歩）（クラス指定あり）,2,2,前期,1,3,3120,2
基礎線形代数学Ａ （RB指定）,2,3,前期,1,3,3120,2
化学Ａ （初歩）（クラス指定あり）,3,1,前期,1,3,3120,2
基礎微積分学Ａ （初歩）（クラス指定あり）,3,2,前期,1,3,3120,2
人文社会学ゼミＡ,3,4,前期,1,3,3120,2
物理学Ａ （初歩）（クラス指定あり）,4,1,前期,1,3,3120,2
物理学Ａ （初歩）（クラス指定あり）,4,2,前期,1,3,3120,2
世界経済の現在,5,2,前期,1,3,3120,2
歴史学Ａ,1,2,前期,1,3,3130,3
歴史学Ｂ,1,3,前期,1,3,3130,3
基礎微積分学Ａ （初歩）（クラス指定あり）,2,1,前期,1,3,3130,3
化学Ａ （初歩）（クラス指定あり）,2,2,前期,1,3,3130,3
化学Ａ （初歩）（クラス指定あり）,3,1,前期,1,3,3130,3
基礎微積分学Ａ （初歩）（クラス指定あり）,3,2,前期,1,3,3130,3
物理学Ａ （初歩）（クラス指定あり）,4,1,前期,1,3,3130,3
物理学Ａ （初歩）（クラス指定あり）,4,2,前期,1,3,3130,3
教養ワークショップＡ,5,2,前期,1,3,3130,3
歴史学Ｂ,5,3,前期,1,3,3130,3
人文社会学ゼミＡ,5,4,前期,1,3,3130,3
基礎微積分学Ａ （初歩）（クラス指定あり）,2,1,前期,1,3,3140,4
化学Ａ （初歩）（クラス指定あり）,2,2,前期,1,3,3140,4
化学Ａ （初歩）（クラス指定あり）,3,1,前期,1,3,3140,4
基礎微積分学Ａ （初歩）（クラス指定あり）,3,2,前期,1,3,3140,4
物理学Ａ （学系指定なし）,4,1,前期,1,3,3140,4
物理学Ａ （標準）（クラス指定あり）,4,1,前期,1,3,3140,4
電磁気学Ⅰ(RU),4,2,前期,1,3,3140,4
アジア文化研究,4,3,前期,1,3,3140,4
教育実習セミナー,4,4,前期,1,3,3140,4
教育実習セミナー,4,4,前期,1,3,3140,4
鉄筋コンクリート工学(RG),5,1,前期,1,3,3140,4
物理学入門 （学系指定なし）,5,4,前期,1,3,3140,4
物理学入門演習 （学系指定なし）,5,5,前期,1,3,3140,4
鋼構造学(RG),1,1,前期,1,3,3150,5
建築・都市環境学へのアプローチ(RG) (前前期),1,2,前期,1,3,3150,5
地盤工学Ｂ(RG),1,3,前期,1,3,3150,5
都市衛生工学(g2),1,4,前期,1,3,3150,5
基礎微積分学Ａ （初歩）（クラス指定あり）,2,1,前期,1,3,3150,5
化学Ａ （学系指定なし）,3,1,前期,1,3,3150,5
化学Ａ （標準）（クラス指定あり）,3,1,前期,1,3,3150,5
基礎微積分学Ａ （初歩）（クラス指定あり）,3,2,前期,1,3,3150,5
化学熱力学Ⅰ(RU),4,1,前期,1,3,3150,5
国際社会と法,4,2,前期,1,3,3150,5
法学Ａ,4,4,前期,1,3,3150,5
量子力学Ⅱ(RU),5,1,前期,1,3,3150,5
量子力学演習(u2),5,2,前期,1,3,3150,5
政治学Ａ,5,3,前期,1,3,3150,5
建築・都市デザイン概論(RG),5,2,前期,1,3,3311,12
機械工学入門(RM) (前後期),1,1,前後期,2,3,3210,7
機械工学概論Ⅰ(RM) (前前期),1,1,前前期,2,3,3210,7
機械工学入門(RM) (前後期),1,2,前後期,2,3,3210,7
機械工学概論Ⅰ(RM) (前前期),1,2,前前期,2,3,3210,7
流体力学Ⅰ・演習(RM),2,3,前期,2,3,3210,7
流体力学Ⅰ・演習(RM),2,4,前期,2,2,3210,7
社会学Ａ,3,1,前期,2,3,3210,7
社会学Ａ,3,2,前期,2,3,3210,7
情報と職業入門(主コース専門) (前前期),3,4,前前期,2,3,3210,7
経済学Ａ,4,1,前期,2,3,3210,7
経済学Ａ,4,2,前期,2,3,3210,7
機械要素Ⅱ(m1),4,3,前期,2,3,3210,7
機械要素Ⅱ(m2),4,3,前期,2,3,3210,7
建築都市デザイン演習ⅡＡ(g1),4,4,前期,2,3,3210,7
建築都市デザイン演習ⅡＡ(g2),4,4,前期,2,3,3210,7
建築都市デザイン演習ⅡＡ(g1),4,5,前期,2,3,3210,7
建築都市デザイン演習ⅡＡ(g2),4,5,前期,2,3,3210,7
機械力学Ⅱ・演習(m1),5,2,前期,2,3,3210,7
機械力学Ⅱ・演習(m2),5,2,前期,2,3,3210,7
工業熱力学・演習,5,3,前期,2,3,3210,7
工業熱力学・演習,5,4,前期,2,3,3210,7
基礎線形代数学Ａ （RD指定）,1,2,前期,2,3,3220,8
基礎微積分学Ａ （初歩）（クラス指定あり）,2,1,前期,2,3,3220,8
制御工学(m2),2,2,前期,2,3,3220,8
基礎電気工学(RM),2,3,前期,2,3,3220,8
現代青年の心理と論理,2,4,前期,2,3,3220,8
統計学(u1),3,1,前期,2,3,3220,8
統計学(RU),3,1,前期,2,3,3220,8
基礎微積分学Ａ （初歩）（クラス指定あり）,3,2,前期,2,3,3220,8
数理科学演習(RU),4,1,前期,2,3,3220,8
解析学Ⅲ(u1),4,2,前期,2,3,3220,8
経済学Ａ,4,3,前期,2,3,3220,8
日本語リテラシー (前前期),5,1,前前期,2,3,3220,8
日本語リテラシー (前後期),5,1,前後期,2,3,3220,8
国際社会と法,5,2,前期,2,2,3220,8
基礎線形代数学Ａ （RD指定）,1,2,前期,2,3,3230,8
リモートセンシング,2,1,前期,2,3,3230,9
水文学(g2),2,2,前期,2,3,3230,9
科学技術史,2,3,前期,2,3,3230,9
科学技術史,2,4,前期,2,3,3230,9
機械加工学Ⅰ・演習(RM),3,1,前期,2,3,3230,9
機械加工学Ⅰ・演習(RM),3,2,前期,2,3,3230,9
数理科学演習(RU),4,1,前期,2,3,3230,9
無機化学Ⅱ(u3),4,2,前期,2,3,3230,9
基礎線形代数学Ａ （RE指定）,4,4,前期,2,3,3230,9
基礎線形代数学Ａ （RD指定）,1,2,前期,2,3,3240,10
基礎線形代数学Ｂ （学系指定なし）,1,3,前期,2,3,3240,10
工業力学Ⅱ・演習(RM),2,1,前期,2,3,3240,10
工業力学Ⅱ・演習(RM),2,2,前期,2,3,3240,10
化学Ａ （学系指定なし）,3,1,前期,2,3,3240,10
化学Ａ （標準）（クラス指定あり）,3,1,前期,2,3,3240,10
環境科学 （学系指定なし）,3,2,前期,2,3,3240,10
数学科教育法Ａ,3,3,前期,2,3,3240,10
数学科教育法,3,3,前期,2,3,3240,10
数学科教育法Ａ,3,4,前期,2,3,3240,10
物理学Ａ （初歩）（クラス指定あり）,4,1,前期,2,3,3240,10
物理学Ａ （初歩）（クラス指定あり）,4,2,前期,2,3,3240,10
基礎線形代数学Ａ （学系指定なし）,4,3,前期,2,3,3240,10
材料力学Ⅰ・演習(RM),5,2,前期,2,3,3240,10
コロイド科学特論,1,1,前期,2,3,3250,11
測量実習(RG),1,4,前期,2,3,3250,11
測量実習(RG),1,5,前期,2,3,3250,11
量子化学(RU),2,1,前期,2,3,3250,11
計画数理(RG),2,2,前期,2,3,3250,11
材料実験(RG),2,3,前期,2,3,3250,11
材料実験(RG),2,4,前期,2,3,3250,11
物理数学Ⅱ(RU),3,1,前期,2,3,3250,11
基礎微積分学Ａ （クラス指定あり）,3,2,前期,2,3,3250,11
基礎微積分学Ａ （標準）（クラス指定あり）,3,2,前期,2,3,3250,11
数学科指導法Ａ,3,3,前期,2,3,3250,11
数学科指導法,3,3,前期,2,3,3250,11
数学科指導法Ａ,3,4,前期,2,3,3250,11
電気化学特論,4,1,前期,2,3,3250,11
建築デザイン論(g1),4,2,前期,2,3,3250,11
材料力学Ⅰ・演習(RM),5,2,前期,2,3,3250,11
構造実験(RG),5,3,前期,2,3,3250,11
構造実験(RG),5,4,前期,2,3,3250,11
機械力学Ⅱ・演習(m1),5,1,前期,2,3,3210,7
機械力学Ⅱ・演習(m2),5,1,前期,2,3,3210,7
材料力学Ⅰ・演習(RM),5,1,前期,2,3,3240,10
英語ⅢＡ （ＲＭ，ＲＥ指定）,1,1,前期,3,3,3311,12
英語ⅢＡ （ＲＢ指定）,1,2,前期,3,3,3311,12
造形デザイン入門(RD),2,3,前期,3,3,3311,12
造形デザイン入門(RD),2,4,前期,3,3,3311,12
英語ⅠＡ （ＲＧ指定）,2,5,前期,3,3,3311,12
東京電機大学で学ぶ,3,4,前期,3,3,3311,12
英語ⅠＡ （ＲＭ，ＲＥ指定）,4,3,前期,3,3,3311,12
英語ⅠＡ （ＲＵ指定）,4,4,前期,3,3,3311,12
機械材料(m1),1,2,前期,3,3,3320,13
基礎微積分学Ａ （クラス指定あり）,2,1,前期,3,3,3320,13
計測と分析(RU),2,2,前期,3,3,3320,13
基礎微積分学Ａ （クラス指定あり）,3,2,前期,3,3,3320,13
基礎微積分学Ａ （標準）（クラス指定あり）,3,2,前期,3,3,3320,13
物理学Ａ （初歩）（クラス指定あり）,4,1,前期,3,3,3320,8
物理学Ａ （初歩）（クラス指定あり）,4,2,前期,3,3,3320,13
組込みシステム特論,4,3,前期,3,3,3320,13
情報数学Ⅱ(RD),1,3,前期,3,3,3330,14
基礎微積分学Ａ （クラス指定あり）,2,1,前期,3,3,3330,14
基礎微積分学Ｂ （学系指定なし）,2,2,前期,3,3,3330,14
教育実習セミナー,3,2,前期,3,3,3330,14
教育実習セミナー,3,2,前期,3,3,3330,14
物理学Ａ （初歩）,4,1,前期,3,3,3330,14
物理学Ａ （初歩）（クラス指定あり）,4,2,前期,3,3,3330,14
情報数学Ⅱ(RD),1,3,前期,3,3,3340,14
基礎微積分学Ａ （クラス指定あり）,2,1,前期,3,3,3340,14
化学Ａ （学系指定なし）,3,1,前期,3,3,3340,14
化学Ａ （標準）（クラス指定あり）,3,1,前期,3,3,3340,14
基礎微積分学Ａ （クラス指定あり）,3,2,前期,3,3,3340,14
基礎微積分学Ａ （標準）（クラス指定あり）,3,2,前期,3,3,3340,14
物理学Ａ （初歩）（クラス指定あり）,4,1,前期,3,3,3340,15
物理学Ａ （初歩）（クラス指定あり）,4,2,前期,3,3,3340,15
基礎微積分学Ａ （クラス指定あり）,2,1,前期,3,3,3350,15
化学Ａ （標準）（クラス指定あり）,2,2,前期,3,3,3350,15
交通計画(g2),3,1,前期,3,3,3350,15
景観デザイン(g2),3,2,前期,3,3,3350,15
物理学Ａ （初歩）（クラス指定あり）,4,1,前期,3,3,3350,16
物理学Ａ （初歩）（クラス指定あり）,4,2,前期,3,3,3350,16
建築環境工学(g1),4,3,前期,3,3,3350,16
建築環境工学(g1),4,3,前期,3,3,3350,16
化学実験Ｂ(u3) (前前期),2,3,前前期,3,3,3364,17
化学実験Ｃ(u3) (前後期),2,3,前後期,3,3,3364,17
化学実験Ｂ(u3) (前前期),2,4,前前期,3,3,3364,17
化学実験Ｃ(u3) (前後期),2,4,前後期,3,3,3364,17
